YDR477W	YGL115W
YER148W	YMR227C
YIR025W	YNL172W
YGR103W	YLR009W
YBR279W	YML069W
YER157W	YPR105C
YDR004W	YDR076W
YDR016C	YKR083C
YGR162W	YJL138C
YLR293C	YMR308C
YCR035C	YGR095C
YCR052W	YFR037C
YFR037C	YLR357W
YHL025W	YPR034W
YMR042W	YMR043W
YKL042W	YNL225C
YKL059C	YNL317W
YMR167W	YMR190C
YHR119W	YPL138C
YHR167W	YNL139C
YDL116W	YGL172W
YDL126C	YGR048W
YER093C	YNL006W
YBR179C	YOR211C
YBR198C	YOL148C
YIL095W	YIR006C
YDR328C	YLR097C
YDR335W	YFR034C
YER133W	YOR329C
YBR247C	YDL060W
YDR378C	YJR022W
YOL147C	YOL147C
YBL026W	YER172C
YER148W	YOL148C
YBL026W	YLR438CA
YBL050W	YKL196C
YDR394W	YGL048C
YER172C	YGR075C
YOR270C	YPR036W
YBL084C	YIR025W
YGR172C	YNL263C
YLR310C	YOR101W
YGR200C	YMR312W
YFL038C	YGR172C
YLR417W	YPL002C
YJR007W	YPR041W
YDR138W	YDR381W
YHL025W	YMR033W
YEL013W	YPR185W
YDR172W	YLL026W
YEL037C	YHR027C
YKL038W	YOR047C
YGL145W	YNL258C
YHR206W	YIL147C
YDL140C	YER022W
YBR170C	YDL126C
YIL022W	YJL143W
YDL140C	YGR186W
YAR002W	YLR335W
YNL243W	YNL243W
YAR019C	YFR028C
YDR334W	YML041C
YLR025W	YMR077C
YLR071C	YOR151C
YBL016W	YBR083W
YDR378C	YER172C
YGR103W	YMR049C
YLR148W	YMR231W
YGR104C	YOL135C
YER157W	YGL223C
YLR175W	YNL124W
YGR116W	YML010W
YDL240W	YPR165W
YGR140W	YMR094W
YER172C	YLR147C
YJL081C	YNL107W
YBL084C	YFR036W
YDR052C	YPL153C
YBL103C	YOL067C
YCR002C	YHR107C
YDR460W	YER171W
YDR469W	YHR119W
YJL128C	YLR362W
YLR396C	YOR106W
YDR113C	YGL116W
YLR438CA	YMR268C
YDR498C	YOR075W
YDR118W	YLR102C
YDR142C	YNL214W
YHL007C	YLR362W
YDR145W	YOL148C
YJR065C	YLR370C
YDR166C	YER008C
YML098W	YML114C
YJR093C	YPR107C
YDL008W	YDR118W
YEL002C	YML019W
YEL009C	YHR041C
YMR033W	YMR091C
YDR189W	YLR078C
YGL075C	YPL255W
YKL028W	YOL051W
YDR195W	YER133W
YER012W	YGL048C
YGL116W	YJL013C
YBR155W	YJR032W
YDR260C	YFR036W
YDL116W	YLR208W
YDR303C	YIL126W
YNL113W	YPR110C
YER095W	YER095W
YER112W	YER172C
YNL222W	YNL317W
YLL039C	YML097C
YNL248C	YOR341W
YIL115C	YOR046C
YER133W	YKL018W
YDL178W	YFL039C
YER136W	YFL038C
YLR071C	YMR112C
YBL016W	YJL157C
YLR093C	YMR197C
YDR377W	YPL078C
YDL209C	YDR364C
YLR115W	YLR277C
YBL026W	YCR077C
YDL212W	YKR039W
YLR182W	YOR083W
YJL041W	YLR347C
YBL050W	YOL018C
YBL061C	YBR023C
YOR181W	YPR154W
YDR004W	YER095W
YGR129W	YMR213W
YGR136W	YOR181W
YOR244W	YPR023C
YLR258W	YPL031C
YGR158C	YJR022W
YOR332W	YPL240C
YDR052C	YDR052C
YLR268W	YOR075W
YBL084C	YNL172W
YOR362C	YPR103W
YBL093C	YHR058C
YJL100W	YOR181W
YDR448W	YPL248C
YGR195W	YOL021C
YFL038C	YNL263C
YPR049C	YPR049C
YJL154C	YOR069W
YGR245C	YNL182C
YDR101C	YER006W
YLR418C	YOL051W
YDR486C	YLR181C
YFR009W	YGL195W
YCR057C	YDR449C
YDR498C	YGL098W
YDR118W	YFR036W
YBR041W	YMR246W
YFR024CA	YMR192W
YHL002W	YNR006W
YDR142C	YGR239C
YFR037C	YML127W
YCR084C	YDR510W
YJR060W	YNL103W
YCR088W	YDR388W
YJR084W	YOL117W
YBR091C	YJL054W
YHR027C	YOR117W
YJR093C	YLR115W
YHR030C	YPL240C
YDL007W	YDR394W
YEL009C	YPL031C
YEL015W	YJR022W
YDR173C	YMR043W
YDR179C	YMR025W
YBR112C	YKL038W
YKL018W	YLR015W
YHR081W	YNL232W
YBR123C	YOR110W
YGL097W	YLR293C
YMR093W	YOR310C
YKL052C	YKR037C
YDR195W	YNL317W
YMR109W	YOR035C
Q0080	YPL078C
YDL051W	YDR395W
YDR207C	YOL004W
YMR190C	YPL024W
YDR227W	YKR101W
YGL133W	YJL065C
YER022W	YGR186W
YMR236W	YOL148C
YMR255W	YOR046C
YHR167W	YNL253W
YDL111C	YGR095C
YKL205W	YLR293C
YGL200C	YPL218W
YDL127W	YPL031C
YBR164C	YLR309C
YER093C	YOL078W
YNL138W	YNL138W
YER110C	YGR119C
YLL036C	YLR275W
YAR002CA	YML012W
YDR320C	YGR167W
YNL229C	YNL229C
YBR198C	YPL011C
YAR014C	YER133W
YDL148C	YOR310C
YBR202W	YLR103C
YBL003C	YDR225W
YGR047C	YLR277C
YNR023W	YPL129W
YDL185W	YPR036W
YBR247C	YDL148C
YIL173W	YJR022W
YDL209C	YHR165C
YER148W	YML114C
YLR117C	YMR213W
YDL209C	YPL151C
YER148W	YOR039W
YDR381W	YMR308C
YDL217C	YHR005CA
YJL020C	YMR109W
YDR388W	YMR109W
YOR151C	YPR187W
YBL052C	YOR064C
YLR208W	YPR181C
YGR135W	YML092C
YLR229C	YPL242C
YLR256W	YLR256W
YDR416W	YMR213W
YLR263W	YLR263W
YDR429C	YMR309C
YGR166W	YKR068C
YGR179C	YPR046W
YDR449C	YJL069C
YDR468C	YGL095C
YPR010C	YPR110C
YBR017C	YGR119C
YGR245C	YHR197W
YGR252W	YMR236W
YJL176C	YPR034W
YLR438CA	YPR178W
YDR507C	YHR107C
YJR022W	YOR076C
YBR072W	YBR072W
YCR077C	YJR022W
YJR050W	YLR117C
YDR145W	YPR072W
YCR084C	YNL330C
YFR052W	YKL145W
YGL005C	YML071C
YCR088W	YOR284W
YGL019W	YIL035C
YHR030C	YLR442C
YGL022W	YML019W
YML105C	YPL243W
YDR167W	YPL248C
YHR052W	YLR009W
YEL015W	YEL015W
YHR058C	YNR010W
YDL017W	YGL201C
YGL070C	YPR187W
YMR068W	YNL006W
YHR084W	YMR043W
YDR192C	YMR255W
YBR127C	YHR039CA
YKL059C	YKR002W
YBR131W	YGL124C
YKL068W	YMR308C
YHR099W	YPL047W
Q0130	YPL078C
YGL112C	YML098W
YBR156C	YGR113W
YMR197C	YOR327C
YGL145W	YOR075W
YER022W	YGL025C
YER022W	YPL129W
YDR254W	YGR140W
YGL172W	YLR347C
YGL173C	YLR438CA
YKR008W	YMR033W
YHR196W	YJL109C
YDR280W	YGR195W
YHR196W	YOR310C
YGL206C	YHR161C
YNL068C	YOR372C
YAL038W	YDR510W
YBR160W	YPL194W
YBR160W	YPR175W
YER087CB	YGL022W
YBR170C	YGR048W
YDR308C	YHR058C
YDL140C	YGR200C
YLL021W	YOR231W
YBR175W	YLR015W
YDR311W	YPL122C
YDL147W	YDR179C
YDR328C	YJL149W
YLR006C	YNR031C
YLR009W	YNR053C
YLR025W	YOR275C
YIL118W	YOR326W
YGR060W	YLR100W
YDL165W	YNR052C
YER133W	YLR115W
YLR055C	YMR223W
YBR236C	YDL140C
YBR247C	YCL059C
YBL008W	YJL115W
YDR363WA	YKL145W
YOL012C	YPL235W
YER146W	YNL147W
YDL207W	YDR192C
YDL208W	YLR175W
YDR378C	YNL147W
YIR010W	YKL089W
YOL142W	YOR001W
YBR257W	YIR015W
YLR148W	YOR106W
YGR116W	YML069W
YLR192C	YOR361C
YCL010C	YMR223W
YJL054W	YOR297C
YGR128C	YMR093W
YDR395W	YKL068W
YJL069C	YLR222C
YBL072C	YCL059C
YER172C	YFL017WA
YGR140W	YMR168C
YOR260W	YPL237W
YCL032W	YDR103W
YDR416W	YJR050W
YJL081C	YOL012C
YCL037C	YLR256W
YFL011W	YPL240C
YDR086C	YEL002C
YCR009C	YMR192W
YDR460W	YPR025C
YLR384C	YMR312W
YCR033W	YDR155C
YDR469W	YLR015W
YLR396C	YPL045W
YDR101C	YHR170W
YJL176C	YNR023W
YFR004W	YHR200W
YGR275W	YMR033W
YML015C	YML098W
YML041C	YOL012C
YFR051C	YNL258C
YHR016C	YMR192W
YDR166C	YGL233W
YGL025C	YNL236W
YDR167W	YOL148C
YGL033W	YGL183C
YDR169C	YDR510W
YKL006CA	YLR268W
YMR033W	YPL129W
YEL032W	YPR119W
YDR181C	YJL115W
YGL086W	YOR026W
YHR083W	YNL026W
YDR192C	YLR293C
YMR080C	YNL112W
YHR085W	YNL182C
YDL043C	YLL036C
YKL057C	YMR047C
YKL068W	YLR335W
YHR107C	YKL101W
YAL001C	YBR123C
YKL125W	YNL102W
YAL005C	YOR027W
YMR203W	YNR017W
YDL084W	YHR167W
YER018C	YOL069W
YGL151W	YGR104C
YER022W	YNR010W
YMR236W	YPL254W
YDL108W	YDR460W
YAL030W	YNR049C
YDR260C	YGL240W
YDL113C	YJL036W
YGL180W	YLR423C
YMR312W	YPL086C
YHR193C	YPL037C
YDR280W	YOR001W
YGL201C	YPR019W
YDL126C	YLL039C
YER040W	YNL189W
YAL034WA	YGL093W
YNL062C	YOR361C
YDL132W	YDR131C
YHR203C	YOR310C
YGL207W	YOR039W
YGL213C	YHL022C
YNL102W	YPR135W
YDR303C	YKR008W
YBR167C	YHR062C
YNL131W	YNR017W
YBR188C	YJR050W
YAL047C	YLR212C
YER110C	YMR047C
YAR002W	YER110C
YDR323C	YGL095C
YAR003W	YLR015W
YNL222W	YOR151C
YLL039C	YMR276W
YGR013W	YHR086W
YNL236W	YOL051W
YDL148C	YPR144C
YDR334W	YLR085C
YNL290W	YOL094C
YIL126W	YMR033W
YNR011C	YOR148C
YLR045C	YPL269W
YBL008W	YBL008W
YBL014C	YML043C
YDL199C	YPL240C
YBL021C	YHR187W
YBR253W	YGR104C
YGR095C	YNL232W
YDL209C	YDR416W
YIR017C	YJR060W
YER148W	YMR270C
YLR131C	YPR119W
YBR279W	YBR279W
YDR385W	YDR510W
YGR104C	YNL236W
YLR182W	YPL153C
YBR289W	YPL129W
YER164W	YIL035C
YJL041W	YMR047C
YER165W	YGR178C
YDR404C	YGL070C
YCL029C	YPL155C
YDR409W	YLR314C
YGR152C	YLR229C
YCL034W	YOR181W
YBL084C	YOR249C
YGR162W	YKR059W
YLR293C	YOR160W
YCL059C	YJR002W
YGR186W	YMR277W
YLR342W	YPR165W
YGR195W	YOR001W
YDR449C	YLR222C
YPL253C	YPR141C
YBR010W	YGL058W
YGR245C	YPL093W
YCR052W	YGR275W
YDR498C	YGL145W
YCR057C	YLR129W
YCR063W	YLL036C
YML010W	YOR151C
YJR022W	YNL050C
YBR065C	YDL209C
YDR510W	YIL053W
YFR037C	YMR033W
YML032C	YNL312W
YCR084C	YGL025C
YGL003C	YHR166C
YCR088W	YFL039C
YDR159W	YPL169C
YHR027C	YOR259C
YDR164C	YOR327C
YML095C	YMR201C
YJR093C	YLR277C
YGL025C	YGR104C
YJR121W	YNL315C
YBR111WA	YOR257W
YDR180W	YER147C
YGL070C	YIL021W
YDL029W	YKL013C
YBR112C	YLR176C
YEL037C	YOR117W
YKL018W	YLR115W
YDR190C	YJL081C
YKL052C	YKR083C
YER006W	YOR206W
Q0250	YBR037C
YER012W	YFR050C
YAL005C	YAR002W
YGL112C	YMR227C
YBR154C	YPL129W
YDR225W	YGR252W
YMR201C	YPL022W
YER029C	YLL036C
YKL196C	YLR268W
YAL030W	YER143W
YER031C	YGR172C
YDL126C	YJL048C
YAL034WA	YPR046W
YGL207W	YNL102W
YDL132W	YLR097C
YDR301W	YER133W
YBR160W	YPL269W
YGL223C	YML071C
YDL140C	YLR384C
YER111C	YOR083W
YDR324C	YGR128C
YGR005C	YLR418C
YDL147W	YHR027C
YLL036C	YPR178W
YBR198C	YGR252W
YGR009C	YNR049C
YNL230C	YPL046C
YDL148C	YJR002W
YIL109C	YLR268W
YLR009W	YPL093W
YIL115C	YMR047C
YNL281W	YPL240C
YLR032W	YLR032W
YER133W	YPL074W
YER143W	YLL039C
YIL159W	YKL129C
YDR364C	YLL036C
YBL016W	YER075C
YDL207W	YMR255W
YBR253W	YDL140C
YIR009W	YPL213W
YDL209C	YPL213W
YJL002C	YOR103C
YLR181C	YPR173C
YBR289W	YJL176C
YGR113W	YKL052C
YER164W	YGL207W
YCL008C	YNR006W
YDL239C	YNL225C
YCL011C	YDR432W
YDR392W	YLR055C
YGR120C	YML071C
YDR002W	YGR218W
YLR223C	YPR104C
YDR407C	YKR068C
YJL076W	YPR010C
YGR156W	YNL317W
YDR045C	YOR207C
YDR427W	YGL048C
YDR432W	YMR125W
YJL109C	YJR002W
YPL129W	YPR034W
YPL232W	YPR032W
YCR012W	YDR510W
YGR218W	YIL063C
YPL240C	YPR201W
YBR010W	YDR227W
YDR091C	YLR192C
YDR473C	YDR473C
YFL039C	YNL243W
YCR042C	YML015C
YGR252W	YNL030W
YDR108W	YKR068C
YDR507C	YJR076C
YDR121W	YGL133W
YCR066W	YJL092W
YDR510W	YGR186W
YBR060C	YML065W
YHL004W	YKL155C
YJR042W	YKL068W
YFR037C	YLR033W
YML062C	YML062C
YHR016C	YPR171W
YML092C	YOR157C
YML098W	YPL011C
YHR039CA	YOR332W
YML105C	YPR088C
YDL008W	YLR127C
YDR167W	YPL254W
YMR005W	YPL011C
YBR110W	YBR110W
YDR176W	YER151C
YEL027W	YOR270C
YGL066W	YMR223W
YDL028C	YIL106W
YEL036C	YJL183W
YBR112C	YGL194C
YHR069C	YOL021C
YDR192C	YER110C
YKL041W	YMR077C
YBR123C	YDR362C
YGL095C	YOR036W
YER006W	YMR049C
YGL100W	YJR042W
YKL068W	YNL189W
YBR135W	YPL256C
YHR099W	YPL248C
YGL106W	YPL242C
YGL112C	YML114C
YER012W	YGR253C
YAL005C	YDR510W
YDR225W	YDR448W
YMR227C	YPL011C
YBR160W	YER111C
YMR231W	YPL045W
YAL024C	YPR119W
YKR008W	YMR091C
YHR196W	YJR002W
YDR280W	YHR069C
YDL126C	YDR510W
YAL033W	YBR257W
YKR048C	YLR457C
YAL038W	YJL164C
YDR298C	YPL078C
YKR082W	YMR047C
YDR303C	YML127W
YGL233W	YIL068C
YIL035C	YIL035C
YAR002CA	YGL200C
YDR318W	YPL018W
YAR002W	YMR047C
YNL209W	YPL106C
YLL036C	YPL151C
YDR324C	YOR310C
YNL225C	YOL091W
YIL084C	YOL004W
YDR328C	YPL256C
YDL161W	YIR006C
YER133W	YGR156W
YDR356W	YOR373W
YNR053C	YPL093W
YDL185W	YMR054W
YLR071C	YPL129W
YIR009W	YNL091W
YER148W	YLR399C
YBR257W	YLR145W
YLR127C	YOR249C
YBR274W	YDR113C
YJL020C	YKL129C
YBL041W	YPR103W
YGR113W	YGR140W
YER164W	YOR039W
YJL044C	YLR262C
YDR005C	YPR190C
YLR222C	YLR409C
YCL027W	YER118C
YJL069C	YLR409C
YLR229C	YOL113W
YGR140W	YNL307C
YLR249W	YPR080W
YBL078C	YNL223W
YBL084C	YGL116W
YPL047W	YPL047W
YJL109C	YMR093W
YDR080W	YOR106W
YGR218W	YML007W
YBR010W	YJL115W
YBR017C	YDR192C
YGR241C	YIR006C
YDR477W	YNL257C
YGR253C	YPR103W
YCR052W	YMR033W
YGR275W	YMR091C
YFR024CA	YPR171W
YJR007W	YKR026C
YJR022W	YNR050C
YHL007C	YOR212W
YFR037C	YGR275W
YHL022C	YLR329W
YFR037C	YPR034W
YJR065C	YNR035C
YGL003C	YPL256C
YDR510W	YOR341W
YHR030C	YIL113W
YDR166C	YIL068C
YDL005C	YOL135C
YBR102C	YPR055W
YHR035W	YJR022W
YDR167W	YHR099W
YEL013W	YKL196C
YGL048C	YHR200W
YDR176W	YDR392W
YEL026W	YLR197W
YMR047C	YPL125W
YBR118W	YLR249W
YDR190C	YOL012C
YMR094W	YOR057W
YKL058W	YML015C
YHR090C	YHR099W
YDL047W	YJL098W
YMR131C	YOR063W
YDL074C	YGL058W
YMR203W	YPL063W
YBR160W	YER012W
YKL173W	YLR438CA
YMR239C	YMR239C
YGL172W	YKL057C
YDL108W	YER171W
YHR171W	YHR171W
YMR312W	YPL101W
YKR008W	YLR033W
YHR196W	YMR093W
YAL032C	YPL151C
YAL034WA	YIL144W
YGL207W	YOR061W
YNL088W	YNL088W
YLL024C	YOR027W
YDR311W	YGR258C
YAR002W	YER165W
YDR323C	YLR148W
YGR002C	YPL235W
YIL065C	YJL112W
YDR324C	YMR093W
YNL222W	YOR179C
YAR007C	YNL312W
YGR013W	YIL061C
YLR002C	YOR206W
YIL105C	YMR068W
YGR020C	YOR270C
YDR334W	YLR385C
YNL271C	YNL293W
YNL290W	YOR144C
YBR216C	YML007W
YLR033W	YMR091C
YDL179W	YPL031C
YER133W	YNL233W
YBR234C	YMR109W
YDR359C	YHR090C
YBR247C	YER082C
YGR090W	YJR002W
YIR006C	YIR006C
YER148W	YFR034C
YGR092W	YNR052C
YBR253W	YLR071C
YOL135C	YPR070W
YDL209C	YLR117C
YBR273C	YDL126C
YJL005W	YNL138W
YBR279W	YDL140C
YGR104C	YNR010W
YGR119C	YLR347C
YJL053W	YJL154C
YJL069C	YJL069C
YER171W	YPL122C
YDR028C	YER177W
YLR268W	YPL218W
YBL088C	YDR369C
YCL059C	YJR123W
YBL093C	YLR071C
YFL009W	YLR079W
YLR321C	YMR091C
YCR002C	YDL225W
YFL026W	YFL026W
YJL115W	YOR213C
YDR087C	YOR063W
YGR218W	YKL068W
YLR396C	YML001W
YCR035C	YHR081W
YDR473C	YLR438CA
YJL143W	YJR045C
YDR099W	YER177W
YFR003C	YML016C
YBR034C	YGL122C
YGR275W	YLR033W
YGR285C	YHR064C
YJR021C	YJR021C
YBR060C	YBR160W
YCR072C	YER006W
YJR022W	YNL118C
YDR145W	YGR252W
YCR077C	YNL118C
YJR043C	YNL102W
YFR037C	YMR091C
YDR510W	YLR044C
YJR052W	YLR442C
YFR050C	YOR157C
YML049C	YPR094W
YJR063W	YPR010C
YHR005C	YJR086W
YHR016C	YJR083C
YHR027C	YOR261C
YDR510W	YPL228W
YHR034C	YJR022W
YGL025C	YHR041C
YML099C	YMR043W
YEL002C	YGL226CA
YJR112W	YKL049C
YJR135C	YPR046W
YGL070C	YJL140W
YKL018W	YLR277C
YBR118W	YDR510W
YDL040C	YHR013C
YGL092W	YMR047C
YBR128C	YPL120W
YER012W	YFR052W
YMR146C	YNL062C
YDR227W	YML109W
YGL134W	YLR258W
YGL150C	YNL059C
YBR160W	YFR046C
YDR240C	YIL061C
YER029C	YLR147C
YDL111C	YOL021C
YDR264C	YOR212W
YHR191C	YMR078C
YDR277C	YJR022W
YDR280W	YNL232W
YBR160W	YMR001C
YER044C	YLR100W
YGL212W	YLR093C
YDL134C	YOR014W
YDR303C	YFR037C
YER087CB	YOR085W
YDR310C	YOL068C
YDL140C	YLR418C
YGL246C	YOR048C
YER110C	YKL068W
YNL199C	YPL075W
YER111C	YPR119W
YLL036C	YNL245C
YDR324C	YHR196W
YER112W	YLR438CA
YLL036C	YPR182W
YGR009C	YOR327C
YNL232W	YOL021C
YDR328C	YML088W
YDR334W	YDR485C
YNL288W	YNR052C
YBR211C	YPL233W
YGR056W	YLR357W
YLR033W	YLR033W
YDR358W	YGL206C
YOL021C	YOL142W
YER146W	YJR022W
YDL195W	YPL085W
YDL207W	YOR046C
YLR105C	YPL083C
YDR381W	YDR381W
YDL209C	YJR050W
YLR117C	YPL151C
YIR025W	YLR102C
YOR035C	YOR326W
YDL209C	YPR101W
YGR104C	YLR418C
YBL039C	YBL105C
YGR113W	YKL138CA
YCL008C	YPL065W
YBL050W	YLR268W
YDL239C	YOL091W
YJL050W	YNL299W
YDR394W	YKL145W
YCL029C	YLR045C
YJL076W	YPR119W
YOR290C	YPL016W
YDR416W	YPR101W
YLR263W	YOR351C
YCL059C	YHR203C
YFL008W	YFL008W
YGR180C	YJL026W
YGR186W	YIL021W
YJL109C	YOR310C
YFL024C	YNL107W
YJL115W	YMR127C
YBR009C	YDR227W
YFL038C	YLR026C
YJL140W	YML010W
YFL048C	YLR080W
YLR418C	YLR418C
YCR042C	YML098W
YJL164C	YPL232W
YCR052W	YDR303C
YGR274C	YGR274C
YFR024CA	YLR144C
YDR130C	YDR130C
YDR510W	YGL026C
YFR028C	YMR055C
YCR066W	YLR032W
YDR510W	YGR192C
YJR022W	YOR319W
YFR034C	YPR086W
YBR080C	YLR043C
YDR145W	YML098W
YFR037C	YLR321C
YCR084C	YCR084C
YJR050W	YMR213W
YDR155C	YGL194C
YCR092C	YOL090W
YDR159W	YOL072W
YDR510W	YOR156C
YDR164C	YGR009C
YHR030C	YOR208W
YJR102C	YMR077C
YGL025C	YPR070W
YEL009C	YOR290C
YHR058C	YOL135C
YDL017W	YPR019W
YDL030W	YLL036C
YHR069C	YOR001W
YMR048W	YNL273W
YMR068W	YOL078W
YGL096W	YJR022W
YMR091C	YPR034W
YER006W	YMR290C
YGL100W	YKL057C
YKL068W	YNL273W
YDL059C	YDL059C
YDR217C	YDR217C
YGL112C	YPR072W
YDL065C	YOL147C
YHR119W	YLR288C
YAL007C	YAR002CA
YKL139W	YML112W
YAL014C	YER133W
YDL084W	YNL139C
YHR157W	YLR329W
YDR228C	YDR301W
YDR244W	YGR077C
YHR167W	YML062C
YDL108W	YOR174W
YKR002W	YLR115W
YDR280W	YHR081W
YHR196W	YPL126W
YDR283C	YPL240C
YGL206C	YKL135C
YNL049C	YPR181C
YER044C	YGR060W
YAL034WA	YMR117C
YKR068C	YMR218C
YDL132W	YPL256C
YNL107W	YOL012C
YIL021W	YML010W
YDR303C	YMR033W
YGL240W	YNL172W
YIL038C	YNR052C
YBR193C	YER022W
YGR002C	YHR099W
YLL036C	YMR240C
YDL147W	YDR427W
YLL036C	YPL213W
YDR324C	YPL126W
YER114C	YER124C
YBR198C	YMR227C
YDR328C	YJR033C
YNL271C	YPR165W
YLR025W	YPL084W
YNL299W	YOL115W
YDL165W	YPR072W
YER133W	YLR277C
YBL007C	YGR268C
YDL195W	YIL004C
YOL076W	YPR131C
YLR103C	YLR274W
YBR247C	YPR144C
YGR095C	YGR195W
YDL209C	YGR074W
YER148W	YLR418C
YBR257W	YNL221C
YDL209C	YMR213W
YGR103W	YNL002C
YDL220C	YNL102W
YDL229W	YPL106C
YER162C	YJR052W
YCL008C	YHL002W
YGR116W	YPR133C
YER164W	YOR061W
YLR196W	YLR196W
YBL052C	YGL207W
YER165W	YJL080C
YBL084C	YGL240W
YOR341W	YPR110C
YDR054C	YDR328C
YDR429C	YLR192C
YDR086C	YLR378C
YDR449C	YOR310C
YDR470C	YOR211C
YLR398C	YPR189W
YDR477W	YER129W
YBR017C	YGL092W
YFL039C	YPL242C
YDR477W	YOR047C
YGR252W	YHR099W
YCR042C	YPL129W
YCR052W	YMR091C
YJR002W	YOR078W
YGR275W	YPR034W
YJR022W	YNR053C
YDR145W	YDR176W
YDR510W	YJL092W
YFR052W	YHR027C
YDR510W	YML126C
YDR510W	YNL042W
YJR076C	YPL161C
YGL019W	YGL207W
YDR166C	YJL085W
YML098W	YMR236W
YML103C	YMR047C
YEL002C	YOR103C
YML114C	YPL011C
YGL048C	YKL010C
YBR109C	YOR326W
YHR056C	YLR357W
YMR021C	YMR021C
YGL061C	YKR083C
YMR047C	YMR308C
YDR189W	YOR075W
YDL031W	YER006W
YHR086W	YIL061C
YDR195W	YKL018W
YHR090C	YJL081C
YKL068W	YML103C
YHR099W	YNL107W
Q0115	YIR021W
YDR211W	YJR007W
YHR118C	YML065W
YER012W	YOR261C
YDR225W	YNL030W
YMR203W	YPR133WA
YDL084W	YKL214C
YAL024C	YHR158C
YDL105W	YDR288W
YER025W	YOR260W
YMR268C	YNL147W
YDL108W	YFL029C
YGL173C	YJR022W
YHR186C	YNL006W
YDR265W	YLR191W
YGL180W	YPR185W
YKR008W	YLR321C
YHR196W	YHR196W
YGL206C	YGR167W
YGL207W	YIL035C
YKR062W	YOL051W
YNL090W	YPL161C
YGL213C	YOR076C
YNL118C	YOL149W
YDR308C	YGL025C
YLL021W	YNL293W
YAL043C	YPL008W
YGL244W	YML069W
YLL024C	YPL106C
YBR188C	YLR117C
YIL035C	YOR039W
YAL047C	YNL126W
YDR318W	YKL089W
YLL036C	YML049C
YDR323C	YMR231W
YNL222W	YPL008W
YIL112W	YOL068C
YIL118W	YJL085W
YBL007C	YDR388W
YER133W	YNL317W
YDL185W	YHR039CA
YOL010W	YOL010W
YDL190C	YEL037C
YIL159W	YMR032W
YBL021C	YOR358W
YDR378C	YER112W
YGR095C	YOL142W
YOL135C	YPR168W
YDL209C	YER029C
YER148W	YLR055C
YBL026W	YDR378C
YDL209C	YLR147C
YER148W	YNL039W
YER148W	YPL011C
YLR148W	YLR396C
YBR279W	YDR138W
YJL013C	YOR026W
YBR290W	YPL240C
YOR134W	YPR165W
YDL232W	YML019W
YGR128C	YHR196W
YDR013W	YJL072C
YDR404C	YIL021W
YER172C	YOR159C
YCL054W	YER006W
YOR368W	YPL194W
YFL005W	YNL263C
YCL059C	YJR145C
YGR186W	YOR151C
YCR002C	YDR507C
YDR449C	YLR409C
YFL037W	YML085C
YBR009C	YOR244W
YLR381W	YPR046W
YDR468C	YOR327C
YLR396C	YMR231W
YDR473C	YPR178W
YJL143W	YLR008C
YBR010W	YPL209C
YBR031W	YCL059C
YFR004W	YFR010W
YCR052W	YKR008W
YJL187C	YPR119W
YDR110W	YJL076W
YBR041W	YOR317W
YCR057C	YOR310C
YFR031C	YKL068W
YJR022W	YNL147W
YBR065C	YLL036C
YCR077C	YER112W
YDR510W	YKL060C
YML051W	YML051W
YBR083W	YHR084W
YDR156W	YOR340C
YJR093C	YNL222W
YEL009C	YGL112C
YDR172W	YDR172W
YKL006CA	YKL196C
YHR052W	YPL093W
YDR180W	YIL026C
YEL037C	YOR259C
YGL086W	YGR188C
YEL051W	YOR270C
YKL042W	YPL124W
YER006W	YGR245C
YBR133C	YKL101W
YHR099W	YJL081C
YER008C	YPR165W
Q0250	YER154W
YBR154C	YIL021W
YGL116W	YHR166C
YER012W	YOL038W
YDR224C	YKR048C
YDL077C	YMR231W
YAL011W	YDR334W
YDR225W	YJL081C
YMR203W	YNL055C
YBR160W	YDR113C
YGL134W	YPL031C
YER021W	YFR052W
YBR160W	YDR507C
YMR229C	YOR310C
YDL097C	YER021W
YDL101C	YPL153C
YKL196C	YOR036W
YDL111C	YOR001W
YAL032C	YDL209C
YGL178W	YLR452C
YDL116W	YKL068W
YKR002W	YPL031C
YAL032C	YLL036C
YNL030W	YOR244W
YDR288W	YLR007W
YER044C	YML008C
YDL134C	YPL152W
YER075C	YHR030C
YBR167C	YBR257W
YDR303C	YPR034W
YER087CB	YOR103C
YDR308C	YPR070W
YER094C	YOR157C
YAL056W	YER020W
YDR318W	YGR179C
YDL140C	YOR210W
YNL221C	YNL282W
YBR198C	YHR041C
YNL232W	YOR001W
YDL148C	YLR186W
YIL109C	YPL085W
YER125W	YIR033W
YBL003C	YGL241W
YGR047C	YOR110W
YBR211C	YPR046W
YGR056W	YMR033W
YBR234C	YJR065C
YER143W	YOR327C
YIR005W	YLL036C
YBL016W	YHR005C
YBL023C	YJL194W
YOL148C	YPL254W
YDL209C	YKL095W
YLR117C	YPR101W
YBL026W	YMR268C
YGR103W	YOR063W
YDL217C	YOR297C
YBR279W	YML010W
YDR392W	YMR236W
YGR120C	YNL051W
YGR129W	YLR117C
YGR135W	YPR103W
YLR234W	YPL024W
YCL029C	YML085C
YBL075C	YOR181W
YOR290C	YPL129W
YER172C	YNL147W
YDR427W	YHR027C
YOR361C	YPL237W
